transaction_id,fraud_status
TXN0000001,clean
TXN0000002,clean
TXN0000003,clean
TXN0000004,clean
TXN0000005,clean
TXN0000006,clean
TXN0000007,clean
TXN0000008,clean
TXN0000009,clean
TXN0000010,clean
TXN0000011,clean
TXN0000012,clean
TXN0000013,fraud
TXN0000014,clean
TXN0000015,clean
TXN0000016,clean
TXN0000017,clean
TXN0000018,clean
TXN0000019,clean
TXN0000020,clean
TXN0000021,clean
TXN0000022,clean
TXN0000023,clean
TXN0000024,clean
TXN0000025,clean
TXN0000026,clean
TXN0000027,clean
TXN0000028,fraud
TXN0000029,clean
TXN0000030,fraud
TXN0000031,clean
TXN0000032,clean
TXN0000033,clean
TXN0000034,clean
TXN0000035,clean
TXN0000036,clean
TXN0000037,clean
TXN0000038,clean
TXN0000039,clean
TXN0000040,clean
TXN0000041,clean
TXN0000042,clean
TXN0000043,clean
TXN0000044,clean
TXN0000045,clean
TXN0000046,clean
TXN0000047,clean
TXN0000048,clean
TXN0000049,clean
TXN0000050,clean
TXN0000051,clean
TXN0000052,clean
TXN0000053,clean
TXN0000054,fraud
TXN0000055,clean
TXN0000056,clean
TXN0000057,clean
TXN0000058,clean
TXN0000059,clean
TXN0000060,clean
TXN0000061,fraud
TXN0000062,clean
TXN0000063,clean
TXN0000064,clean
TXN0000065,clean
TXN0000066,clean
TXN0000067,clean
TXN0000068,clean
TXN0000069,fraud
TXN0000070,clean
TXN0000071,clean
TXN0000072,clean
TXN0000073,clean
TXN0000074,clean
TXN0000075,clean
TXN0000076,clean
TXN0000077,clean
TXN0000078,clean
TXN0000079,clean
TXN0000080,clean
TXN0000081,clean
TXN0000082,clean
TXN0000083,clean
TXN0000084,clean
TXN0000085,clean
TXN0000086,clean
TXN0000087,clean
TXN0000088,clean
TXN0000089,clean
TXN0000090,clean
TXN0000091,clean
TXN0000092,clean
TXN0000093,clean
TXN0000094,fraud
TXN0000095,clean
TXN0000096,clean
TXN0000097,clean
TXN0000098,clean
TXN0000099,clean
TXN0000100,fraud
TXN0000101,fraud
TXN0000102,clean
TXN0000103,clean
TXN0000104,clean
TXN0000105,clean
TXN0000106,clean
TXN0000107,clean
TXN0000108,clean
TXN0000109,clean
TXN0000110,clean
TXN0000111,clean
TXN0000112,clean
TXN0000113,clean
TXN0000114,fraud
TXN0000115,clean
TXN0000116,clean
TXN0000117,clean
TXN0000118,clean
TXN0000119,clean
TXN0000120,clean
TXN0000121,clean
TXN0000122,clean
TXN0000123,clean
TXN0000124,clean
TXN0000125,clean
TXN0000126,clean
TXN0000127,clean
TXN0000128,clean
TXN0000129,clean
TXN0000130,clean
TXN0000131,clean
TXN0000132,clean
TXN0000133,clean
TXN0000134,clean
TXN0000135,clean
TXN0000136,clean
TXN0000137,clean
TXN0000138,clean
TXN0000139,clean
TXN0000140,clean
TXN0000141,clean
TXN0000142,clean
TXN0000143,clean
TXN0000144,clean
TXN0000145,clean
TXN0000146,clean
TXN0000147,clean
TXN0000148,clean
TXN0000149,clean
TXN0000150,clean
TXN0000151,clean
TXN0000152,clean
TXN0000153,clean
TXN0000154,clean
TXN0000155,clean
TXN0000156,fraud
TXN0000157,clean
TXN0000158,clean
TXN0000159,clean
TXN0000160,clean
TXN0000161,clean
TXN0000162,clean
TXN0000163,clean
TXN0000164,clean
TXN0000165,clean
TXN0000166,clean
TXN0000167,clean
TXN0000168,clean
TXN0000169,clean
TXN0000170,clean
TXN0000171,clean
TXN0000172,clean
TXN0000173,clean
TXN0000174,clean
TXN0000175,clean
TXN0000176,clean
TXN0000177,clean
TXN0000178,clean
TXN0000179,clean
TXN0000180,clean
TXN0000181,clean
TXN0000182,clean
TXN0000183,clean
TXN0000184,clean
TXN0000185,fraud
TXN0000186,clean
TXN0000187,clean
TXN0000188,clean
TXN0000189,clean
TXN0000190,clean
TXN0000191,clean
TXN0000192,clean
TXN0000193,clean
TXN0000194,clean
TXN0000195,clean
TXN0000196,clean
TXN0000197,clean
TXN0000198,clean
TXN0000199,clean
TXN0000200,clean
TXN0000201,clean
TXN0000202,clean
TXN0000203,clean
TXN0000204,clean
TXN0000205,clean
TXN0000206,clean
TXN0000207,clean
TXN0000208,clean
TXN0000209,clean
TXN0000210,clean
TXN0000211,clean
TXN0000212,clean
TXN0000213,clean
TXN0000214,clean
TXN0000215,clean
TXN0000216,clean
TXN0000217,clean
TXN0000218,clean
TXN0000219,clean
TXN0000220,clean
TXN0000221,clean
TXN0000222,clean
TXN0000223,clean
TXN0000224,clean
TXN0000225,clean
TXN0000226,clean
TXN0000227,clean
TXN0000228,clean
TXN0000229,clean
TXN0000230,clean
TXN0000231,clean
TXN0000232,clean
TXN0000233,clean
TXN0000234,clean
TXN0000235,clean
TXN0000236,clean
TXN0000237,clean
TXN0000238,clean
TXN0000239,clean
TXN0000240,clean
TXN0000241,clean
TXN0000242,clean
TXN0000243,clean
TXN0000244,clean
TXN0000245,clean
TXN0000246,clean
TXN0000247,clean
TXN0000248,clean
TXN0000249,clean
TXN0000250,clean
TXN0000251,clean
TXN0000252,clean
TXN0000253,clean
TXN0000254,clean
TXN0000255,clean
TXN0000256,clean
TXN0000257,clean
TXN0000258,clean
TXN0000259,clean
TXN0000260,clean
TXN0000261,clean
TXN0000262,clean
TXN0000263,clean
TXN0000264,clean
TXN0000265,clean
TXN0000266,clean
TXN0000267,clean
TXN0000268,clean
TXN0000269,clean
TXN0000270,clean
TXN0000271,clean
TXN0000272,clean
TXN0000273,clean
TXN0000274,clean
TXN0000275,clean
TXN0000276,clean
TXN0000277,clean
TXN0000278,clean
TXN0000279,clean
TXN0000280,clean
TXN0000281,fraud
TXN0000282,clean
TXN0000283,clean
TXN0000284,clean
TXN0000285,fraud
TXN0000286,fraud
TXN0000287,clean
TXN0000288,clean
TXN0000289,clean
TXN0000290,clean
TXN0000291,clean
TXN0000292,clean
TXN0000293,clean
TXN0000294,clean
TXN0000295,clean
TXN0000296,fraud
TXN0000297,fraud
TXN0000298,clean
TXN0000299,clean
TXN0000300,clean
TXN0000301,clean
TXN0000302,clean
TXN0000303,clean
TXN0000304,clean
TXN0000305,clean
TXN0000306,clean
TXN0000307,clean
TXN0000308,clean
TXN0000309,clean
TXN0000310,clean
TXN0000311,clean
TXN0000312,clean
TXN0000313,clean
TXN0000314,clean
TXN0000315,fraud
TXN0000316,clean
TXN0000317,clean
TXN0000318,clean
TXN0000319,clean
TXN0000320,clean
TXN0000321,clean
TXN0000322,fraud
TXN0000323,clean
TXN0000324,clean
TXN0000325,clean
TXN0000326,clean
TXN0000327,clean
TXN0000328,clean
TXN0000329,clean
TXN0000330,clean
TXN0000331,fraud
