transaction_id,user_id,transaction_amount,transaction_type,merchant_category,transaction_date
TXN0000001,USR01378,512359.12,POS,Health,2024-08-26
TXN0000002,USR02038,367638.07,Bills,Utilities,2024-07-28
TXN0000003,USR01088,441799.72,Deposit,Retail,2024-04-01
TXN0000004,USR02056,294658.62,Withdrawal,Education,2024-02-12
TXN0000005,USR00404,926619.67,Transfer,Retail,2024-05-21
TXN0000006,USR00806,200466.34,Deposit,Entertainment,2024-10-06
TXN0000007,USR00781,845478.3,Deposit,Real Estate,2024-12-15
TXN0000008,USR00035,912399.14,Bills,Utilities,2024-10-05
TXN0000009,USR02376,945824.9,Deposit,Telecom,2024-07-25
TXN0000010,USR00612,989275.78,POS,Transport,2024-09-19
TXN0000011,USR02113,474542.89,Withdrawal,Education,2024-04-17
TXN0000012,USR00352,340791.1,Bills,Transport,2024-08-24
TXN0000013,USR01797,417803.91,POS,Education,2024-12-23
TXN0000014,USR00526,577592.37,Bills,Telecom,2024-03-12
TXN0000015,USR01392,834331.19,Airtime,Finance,2024-12-03
TXN0000016,USR02829,762888.25,Withdrawal,Utilities,2024-07-25
TXN0000017,USR00132,567663.34,Airtime,Food,2024-01-12
TXN0000018,USR02470,568276.68,Withdrawal,Real Estate,2024-06-18
TXN0000019,USR01601,204363.57,Transfer,Education,2024-07-14
TXN0000020,USR02333,108816.52,POS,Utilities,2024-08-31
TXN0000021,USR00728,674949.89,Transfer,Real Estate,2024-02-23
TXN0000022,USR01581,199158.74,Bills,Transport,2024-04-05
TXN0000023,USR01863,524490.29,Transfer,Entertainment,2024-12-03
TXN0000024,USR01683,326906.39,POS,Food,2024-03-28
TXN0000025,USR01959,536545.19,Deposit,Retail,2024-03-07
TXN0000026,USR00843,130106.17,Bills,Finance,2024-04-15
TXN0000027,USR02473,474884.59,Withdrawal,Utilities,2024-12-06
TXN0000028,USR01880,716827.98,Bills,Transport,2024-09-14
TXN0000029,USR01636,445841.99,Withdrawal,Transport,2024-03-14
TXN0000030,USR01885,879262.66,POS,Real Estate,2024-10-18
TXN0000031,USR01870,288053.91,Bills,Utilities,2024-02-16
TXN0000032,USR00736,415169.33,Withdrawal,Finance,2024-03-30
TXN0000033,USR02330,183607.45,Transfer,Finance,2024-12-03
TXN0000034,USR00647,239847.08,Bills,Education,2024-01-23
TXN0000035,USR02959,698103.69,Airtime,Health,2024-02-04
TXN0000036,USR01511,121406.26,Transfer,Retail,2024-10-10
TXN0000037,USR00676,410213.64,Bills,Transport,2024-06-15
TXN0000038,USR02617,26912.51,Deposit,Health,2024-08-24
TXN0000039,USR01625,855801.13,Transfer,Telecom,2024-07-23
TXN0000040,USR01340,917152.63,Deposit,Health,2024-12-29
TXN0000041,USR02692,82732.04,Airtime,Health,2024-02-04
TXN0000042,USR00699,841593.38,Transfer,Real Estate,2024-05-22
TXN0000043,USR01601,124326.43,Airtime,Retail,2024-05-30
TXN0000044,USR00629,677446.99,POS,Entertainment,2024-01-06
TXN0000045,USR02181,892708.28,Airtime,Health,2024-01-18
TXN0000046,USR02626,811548.71,Deposit,Retail,2024-11-21
TXN0000047,USR02451,444097.44,Transfer,Telecom,2024-06-06
TXN0000048,USR01535,928833.86,Airtime,Transport,2024-04-13
TXN0000049,USR00060,28138.55,Bills,Transport,2024-08-03
TXN0000050,USR00396,220723.52,Deposit,Food,2024-02-02
TXN0000051,USR00442,415796.46,Bills,Entertainment,2024-01-23
TXN0000052,USR02219,624747.79,POS,Finance,2024-04-07
TXN0000053,USR01325,106064.03,Airtime,Telecom,2024-04-19
