user_id,signup_date,city,device_type
USR00001,2024-10-16,Abuja,Android
USR00002,2023-10-09,Ibadan,iOS
USR00003,2023-05-23,Abuja,Android
USR00004,2024-08-27,Kaduna,Android
USR00005,2023-01-31,Abuja,iOS
USR00006,2023-08-27,Owerri,Android
USR00007,2024-07-28,Ibadan,Web
USR00008,2023-08-14,Benin City,USSD
USR00009,2023-01-07,Kano,Web
USR00010,2023-12-15,Port Harcourt,iOS
USR00011,2023-08-09,Enugu,Android
USR00012,2023-04-05,Kaduna,Android
USR00013,2024-01-03,Enugu,USSD
USR00014,2023-02-14,Benin City,Android
USR00015,2024-01-23,Abuja,USSD
USR00016,2024-10-05,Uyo,USSD
USR00017,2024-08-14,Ibadan,Android
USR00018,2023-02-16,Ibadan,USSD
USR00019,2023-03-23,Ibadan,Android
USR00020,2024-01-25,Port Harcourt,Web
USR00021,2024-10-12,Enugu,iOS
USR00022,2024-01-15,Enugu,iOS
USR00023,2024-11-17,Port Harcourt,Android
USR00024,2024-09-15,Kano,iOS
USR00025,2023-06-17,Benin City,Web
USR00026,2023-10-04,Owerri,iOS
USR00027,2024-12-02,Enugu,Android
USR00028,2023-08-23,Lagos,USSD
USR00029,2024-02-15,Port Harcourt,Android
USR00030,2023-08-05,Uyo,USSD
USR00031,2023-08-06,Benin City,Web
USR00032,2024-10-20,Benin City,iOS
USR00033,2023-09-29,Kano,iOS
USR00034,2024-07-28,Owerri,USSD
USR00035,2024-08-21,Kaduna,Web
USR00036,2024-01-06,Ibadan,iOS
USR00037,2024-06-05,Benin City,Android
USR00038,2023-02-18,Abuja,iOS
USR00039,2024-10-04,Kano,Web
USR00040,2024-09-02,Abuja,Web
USR00041,2024-01-26,Uyo,Web
USR00042,2024-06-25,Port Harcourt,Android
USR00043,2024-11-27,Abuja,USSD
USR00044,2024-10-18,Enugu,Android
USR00045,2023-10-28,Kaduna,iOS
USR00046,2024-04-09,Lagos,USSD
USR00047,2024-05-27,Kano,Android
USR00048,2024-10-02,Port Harcourt,iOS
USR00049,2023-06-06,Enugu,iOS
USR00050,2024-07-06,Owerri,Android
USR00051,2024-09-05,Enugu,Web
USR00052,2023-01-20,Abuja,USSD
USR00053,2023-11-11,Ibadan,Android
USR00054,2023-09-04,Uyo,Android
USR00055,2023-03-29,Benin City,Android
USR00056,2024-06-29,Kano,iOS
USR00057,2024-11-06,Benin City,iOS
USR00058,2023-09-29,Owerri,Web
USR00059,2023-08-05,Owerri,iOS
USR00060,2023-11-16,Kaduna,USSD
USR00061,2024-03-24,Owerri,Web
USR00062,2023-05-04,Ibadan,iOS
USR00063,2023-03-07,Enugu,Android
USR00064,2024-08-25,Owerri,iOS
USR00065,2024-08-25,Ibadan,Android
USR00066,2023-03-14,Lagos,iOS
USR00067,2023-03-11,Lagos,USSD
USR00068,2023-03-14,Owerri,iOS
USR00069,2023-10-13,Benin City,iOS
USR00070,2024-07-06,Kano,Web
USR00071,2023-09-06,Benin City,Web
USR00072,2023-07-14,Abuja,Android
USR00073,2024-11-05,Kaduna,USSD
USR00074,2024-03-09,Kaduna,Web
USR00075,2023-02-25,Abuja,Android
USR00076,2024-02-17,Enugu,Android
USR00077,2023-09-12,Ibadan,iOS
USR00078,2024-07-03,Benin City,iOS
USR00079,2024-03-08,Kano,USSD
USR00080,2024-04-18,Ibadan,Android
USR00081,2024-03-29,Owerri,Android
USR00082,2023-02-21,Owerri,Android
